機種名,発売,世代,モデル,CPU,本体メモリ,液晶サイズ,液晶解像度,電源,連続表示時間,サイズ,重さ,OS,RAM
PW-SR1,2014.xx,3,シニア,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SJ2,2015.02,3,中学生,i.MX283,500MB,5.2型,800x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH2,2015.02,3,高校生,i.MX283,500MB,5.2型,800x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-HC5,2015.xx,3,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB2,2015.02,3,大学生・ビジネス,i.MX283,500MB,5.2型,800x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SA2,2015.02,3,生活・教養,i.MX283,500MB,5.2型,800x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SJ3,2016.01,3,中学生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH3,2016.01,3,高校生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-HC6,2016.xx,3,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB3,2016.01,3,大学生・ビジネス,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SA3,2016.01,3,生活・教養,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,70時間,152.4x96.5x18.7,300g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SJ4,2017.01,4,中学生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,100時間,152.4x96.5x18.4,290g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH4,2017.01,4,高校生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,100時間,152.4x96.5x18.4,290g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-H7700,2017.xx,4,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB4,2017.01,4,大学生・ビジネス,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,100時間,152.4x96.5x18.4,290g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SA4,2017.01,4,生活・教養,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,100時間,152.4x96.5x18.4,290g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SR2,2017.xx,4,シニア,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SJ5,2018.01,4,中学生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH5,2018.01,4,高校生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-H7800,2018.01,4,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB5,2018.01,4,大学生・ビジネス,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SA5,2018.01,4,生活・教養,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-AJ1,2018.01,4,中学生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-AA1,2018.01,4,生活・教養,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,120時間,152.4x96.5x18.4,270g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH6,2019.01,4,高校生,i.MX283,200MB,5.5型,854x480,リチウムイオン充電池,130時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SS6,2019.01,4,高校生,i.MX283,200MB,5.5型,854x480,リチウムイオン充電池,130時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-H8000,2019.xx,4,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB6,2019.01,4,大学生・ビジネス,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,130時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-AJ2,2019.01,4,中学生,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,130時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-AA2,2019.01,4,生活・教養,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,130時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SH7,2020.01,4,高校生,i.MX283,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SS7,2020.01,4,高校生,i.MX283,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-H8100,2020.xx,4,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-H9100,2020.xx,4,学校専売,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SB7,2020.01,4,大学生・ビジネス,i.MX283,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,265g,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-SR3,2020.xx,4,シニア,i.MX283,不明,不明,不明,不明,不明,不明,不明,Microsoft Windows Embedded CE 6.0 Core,128MB
PW-J1,2021.02,5,中学生,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-H1,2021.02,5,高校生,i.MX7,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-S1,2021.02,5,高校生,i.MX7,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-ES8200,2021.xx,5,学校専売,i.MX7,不明,不明,不明,不明,不明,不明,不明,不明,128MB
PW-ES9200,2021.xx,5,学校専売,i.MX7,不明,不明,不明,不明,不明,不明,不明,不明,128MB
PW-B1,2021.02,5,大学生・ビジネス,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-A1,2021.02,5,生活・教養,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-J2,2022.02,5,中学生,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-H2,2022.01,5,高校生,i.MX7,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-S2,2022.01,5,高校生,i.MX7,200MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-ES8300,2022.xx,5,学校専売,i.MX7,不明,不明,不明,不明,不明,不明,不明,不明,128MB
PW-ES9300,2022.xx,5,学校専売,i.MX7,不明,不明,不明,不明,不明,不明,不明,不明,128MB
PW-B2,2022.01,5,大学生・ビジネス,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-A2,2022.02,5,生活・教養,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
PW-SR4,2022.xx,5,シニア,i.MX7,500MB,5.5型,854x480,リチウムイオン充電池,140時間,152.4x94.5x18.4,260g,不明,128MB
